,price_classification,actual_price,discounted_price,rating_classification,category0,category1,percent
0,more than 500,1099.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6369426751592356
1,between 50 and 500,349.0,199.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.4297994269340974
2,more than 500,1899.0,199.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.8952080042127436
3,more than 500,699.0,329.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5293276108726752
4,between 50 and 500,399.0,154.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6140350877192983
5,more than 500,1000.0,149.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.851
6,between 50 and 500,499.0,176.63,Good,Computers&Accessories,Accessories&Peripherals,-0.6460320641282565
7,between 50 and 500,299.0,229.0,Good,Computers&Accessories,Accessories&Peripherals,-0.23411371237458195
8,more than 500,999.0,499.0,Good,Computers&Accessories,NetworkingDevices,-0.5005005005005005
9,between 50 and 500,299.0,199.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.33444816053511706
10,between 50 and 500,339.0,154.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5457227138643068
11,more than 500,799.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6257822277847309
12,more than 500,700.0,219.0,Good,Electronics,"HomeTheater,TV&Video",-0.6871428571428572
13,more than 500,899.0,350.0,Good,Computers&Accessories,Accessories&Peripherals,-0.610678531701891
14,between 50 and 500,399.0,159.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6015037593984962
15,between 50 and 500,399.0,349.0,Good,Computers&Accessories,Accessories&Peripherals,-0.12531328320802004
16,more than 500,24999.0,13999.0,Good,Electronics,"HomeTheater,TV&Video",-0.4400176007040282
17,between 50 and 500,399.0,249.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.37593984962406013
18,between 50 and 500,499.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6012024048096193
19,more than 500,21990.0,13490.0,Good,Electronics,"HomeTheater,TV&Video",-0.3865393360618463
20,more than 500,1799.0,970.0,Good,Computers&Accessories,Accessories&Peripherals,-0.4608115619788771
21,between 50 and 500,499.0,279.0,Fair,Electronics,"HomeTheater,TV&Video",-0.4408817635270541
22,more than 500,22900.0,13490.0,Good,Electronics,"HomeTheater,TV&Video",-0.4109170305676856
23,between 50 and 500,199.0,59.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7035175879396985
24,more than 500,19990.0,11499.0,Good,Electronics,"HomeTheater,TV&Video",-0.4247623811905953
25,more than 500,699.0,199.0,Good,Electronics,"HomeTheater,TV&Video",-0.7153075822603719
26,more than 500,19999.0,14999.0,Good,Electronics,"HomeTheater,TV&Video",-0.2500125006250313
27,between 50 and 500,399.0,299.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.2506265664160401
28,more than 500,1999.0,970.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5147573786893447
29,more than 500,999.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7007007007007007
30,more than 500,750.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7346666666666667
31,between 50 and 500,499.0,179.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6412825651302605
32,more than 500,1099.0,389.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6460418562329391
